iter	Logloss
0	0.6705443583
1	0.6521895829
2	0.6357730738
3	0.6198917072
4	0.6059476712
5	0.5968568993
6	0.5852333772
7	0.5760665349
8	0.5670599396
9	0.5598920758
10	0.5527040648
11	0.5461014529
12	0.5400331535
13	0.5354564098
14	0.5315197542
15	0.5280785332
16	0.523621753
17	0.5188733287
18	0.5147820492
19	0.5122656658
20	0.508207419
21	0.506425607
22	0.5035351805
23	0.5020780684
24	0.4998125593
25	0.4978664717
26	0.4957513582
27	0.493357116
28	0.491957357
29	0.4903592609
30	0.489625463
31	0.4888009548
32	0.4878426949
33	0.4868189783
34	0.4851367317
35	0.4841931479
36	0.4839691968
37	0.4830809074
38	0.4824469527
39	0.4812816629
40	0.4801335972
41	0.4796211519
42	0.479109438
43	0.4777389162
44	0.476855963
45	0.4767060429
46	0.4759225088
47	0.4750081748
48	0.474860985
49	0.473823577
50	0.4730632818
51	0.4723399213
52	0.4721414802
53	0.4714666595
54	0.4709840743
55	0.470244044
56	0.4692273584
57	0.4682129742
58	0.4673728511
59	0.4667639293
60	0.4667124433
61	0.4664858442
62	0.4656483755
63	0.4651219624
64	0.4648936319
65	0.464597275
66	0.4642170389
67	0.4641378847
68	0.4641023771
69	0.4634832968
70	0.4628835522
71	0.4626826785
72	0.4622943692
73	0.4620908703
74	0.4616854662
75	0.4611358535
76	0.4604447824
77	0.4595783717
78	0.4593768025
79	0.4589669474
80	0.4588442913
81	0.4586646224
82	0.4581218855
83	0.4579845547
84	0.4577888929
85	0.4574373765
86	0.4573586494
87	0.456903354
88	0.456589624
89	0.4565620579
90	0.4564119296
91	0.4560635638
92	0.4560062578
93	0.4559868048
94	0.4555562438
95	0.455503548
96	0.4555035479
97	0.4550483102
98	0.4549668827
99	0.4548117494
100	0.4547687002
101	0.454663253
102	0.4544001754
103	0.4543885835
104	0.4543503823
105	0.4531954202
106	0.4530509907
107	0.4530349652
108	0.452995686
109	0.4528541522
110	0.4527013035
111	0.4523518963
112	0.4523458614
113	0.4516765963
114	0.4516634046
115	0.4515235966
116	0.4514908232
117	0.4513639241
118	0.4511377675
119	0.4505269342
120	0.4505269323
121	0.4504927177
122	0.4503829346
123	0.4499275708
124	0.4499275701
125	0.4496054335
126	0.4494039749
127	0.4492602821
128	0.4489830525
129	0.4486730106
130	0.4484352298
131	0.4481853727
132	0.4480457754
133	0.4479340434
134	0.4479220326
135	0.4477905572
136	0.4475213427
137	0.4473549045
138	0.4472492431
139	0.4469785657
140	0.4468831587
141	0.4468614551
142	0.4462976386
143	0.4460167958
144	0.4460167937
145	0.4459260792
146	0.445920292
147	0.4457691655
148	0.4454356003
149	0.4454015166
150	0.4452379354
151	0.4450181515
152	0.4449465408
153	0.444780401
154	0.4447780404
155	0.4441282476
156	0.4441282469
157	0.444080926
158	0.4440809254
159	0.4439403956
160	0.4433164054
161	0.4430801604
162	0.4430785135
163	0.4430751682
164	0.4430537761
165	0.4427725427
166	0.4424699046
167	0.4424618618
168	0.4422761515
169	0.4422312192
170	0.4422284781
171	0.4420207736
172	0.4416999686
173	0.4415212312
174	0.4415185969
175	0.4412775395
176	0.4407338451
177	0.4404390921
178	0.4397298806
179	0.4396861095
180	0.4391807165
181	0.4390184496
182	0.4385988729
183	0.4384044079
184	0.4383054515
185	0.4376627242
186	0.4374299123
187	0.4368377032
188	0.4363841776
189	0.4359908163
190	0.4354844637
191	0.4351327886
192	0.4344650892
193	0.434248203
194	0.4339134606
195	0.4336514408
196	0.4334422563
197	0.4330533346
198	0.4323995721
199	0.4322619074
200	0.4320672235
201	0.4316923389
202	0.4315100581
203	0.430999354
204	0.4306131404
205	0.4302483665
206	0.4297560776
207	0.4295641141
208	0.4293628571
209	0.428901436
210	0.428890477
211	0.4284125686
212	0.4279639453
213	0.4279220518
214	0.4276157699
215	0.4274511842
216	0.4272187565
217	0.4266321238
218	0.4260363386
219	0.4258328729
220	0.4253981925
221	0.4250596536
222	0.4248534833
223	0.4245619457
224	0.424491416
225	0.4243619574
